,drugs
0,Nizatidine Action Pathway
1,norcodeine
2,REP8839
3,hydroxyitraconazole
4,Hydroxyacid oxidase 1
5,Soft Care Neutra Germ Antibacterial
6,UBIQUINONE-1
7,Neo-Synephrine Nasal Spray
8,Today Vaginal Contraceptive
9,Strawberry Champagne Hand Sanitizer
10,Indoramin
11,ATP-binding cassette sub-family C member 9
12,Protein-arginine deiminase type-6
13,Harmon Extra Strength Pain Relieving Roll-on
14,Sudafed Head Cold and Sinus Extra Strength Caplets
15,DuoTrav
16,Justice Vanilla Anti Bac Hand Sanitizer
17,Antibacterial Hand Sanitizer Passion Flower
18,DPPIV_N
19,Harvest Pharmaceuticals Inc.
20,Monarch Pharmacy
21,Halls mentho-lyptus cough tablets cherry
22,MDS Nordion
23,Pin Blanc Compose Syr
24,Cough Syrup DM Decongestant
25,Halls Sugar Free Extra Strong Menthol
26,Shoprite Allergy Relief
27,Viskazide 10/25tab
28,Heparan sulfate glucosamine 3-O-sulfotransferase 1
29,Ig gamma-1 chain C region
30,"(3AR,5R,6S,7R,7AR)-5-(HYDROXYMETHYL)-2-PROPYL-5,6,7,7A-TETRAHYDRO-3AH-PYRANO[3,2-D][1,3]THIAZOLE-6,7-DIOL"
31,Ohm 8 Hour Pain Reliever/fever Reducer
32,LacY_symp
33,Co-Phenotrope
34,PhyH
35,Clear Proof Pore Purifying Serum Acne Medication
36,Recens Foam
37,Plantago Balm
38,"1-[(2S)-2-[(4-CHLOROBENZYL)OXY]-2-(2,4-DICHLOROPHENYL)ETHYL]-1H-IMIDAZOLE"
39,Aldactazide
40,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One"
41,"Insulin, porcine"
42,Nighttime Cold and Flu Liquid Capsules
43,Ethyl Rubbing Alcohol
44,Af Foam Sensitive Acne Pore Cleanser
45,Hand Sanitizing LAVENDER
46,Novodry Plus Suspension
47,"5-(4-METHOXYBIPHENYL-3-YL)-1,2,5-THIADIAZOLIDIN-3-ONE 1,1-DIOXIDE"
48,"6-amino-4-(2-phenylethyl)-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one"
49,Anistreplase Action Pathway
50,OR-1855
51,Rosimet
52,trans-2-hydroxycinnamic acid
53,"Thymidine kinase, cytosolic"
54,Ceftizoxime
55,Pixantrone dimaleate
56,Flumetanol
57,Maleylacetoacetate isomerase
58,TNX-355
59,Elongation factor Tu-B
60,Sciarra Laboratories Inc.
61,Neutrogena Oil Free Acne Moisturizer Pink Grapefruit
62,Estradiol-17alpha 3-D-glucuronoside
